13812	apr21.filmy-smotret.cc	0.25	0.010191	1.0
10009	axm.am	0.5	0.03	0.1
13677	avtotop.info	0.95	0.05	0.1
12685	antimagic.ucoz.ru	0.95	0.074167	0.12
12685	ataka.site	0.25	0.063583	1.0
11887	alfabankpro.ru	0.5	0.0184	0.124
13233	animebuff.ru	0.25	0.022304	0.124
13233	avtozam.com	0.75	0.0756	1.0
12176	all-detal.ru	0.25	0.089109	0.13
12176	astro-compas.ru	0.75	0.079208	0.155
14144	aif-by.turbopages.org	0.25	0.039999	0.124546
12176	all-audio.pro	0.75	0.000897	0.12672
13238	ara5.ru	0.95	0.016	0.1
14057	alivmax.ru	0.5	0.013636	0.048
14413	animejapan.tv	0.25	0.020909	0.08
13812	as58.online-stars.org	0.95	0.032728	0.052
13233	alit-stroi.ru	0.95	0.04375	0.08
11791	aboutan.ru	0.25	0.002	1.0
11857	akkordam.ru	0.75	0.00726	1.0
10134	an.lordfilms-s.tv	0.25	0.01545	0.07875
13576	actkino.ru	0.95	0.03	0.068039
14003	anivost.org	0.95	0.03	1.0
14142	anicat.ru	0.5	0.099999	1.0
13685	autonews.blog	0.5	0.03937	0.143713
13812	a29.kinotom.club	0.25	0.01	0.075
13233	audioknigi-vsem.ru	0.75	0.008588	1.0
12927	access.clientomer.ru	0.5	0.08126	1.0
12176	air.com.hfg.a101escaperoomgames	0.5	0.000667	0.155
13677	autolirika.ru	0.5	0.0125	0.1
13899	airon73.ru	0.25	0.00975	1.0
9012	anyrel-blog.ru	0.5	0.020895	0.21
8663	anekdotov.net	0.25	0.011818	0.1
11896	ar-online.lordfilms-s.art	0.5	0.077	1.0
11909	akket.com	0.75	0.000656	1.0
12685	aremsenly.ucoz.ru	0.75	0.074167	0.11
14435	allya.ru	0.25	0.0816	1.0
11903	assistentus.ru	0.5	0.009091	0.04
11857	androidapplications.store	0.25	0.008789	1.0
12367	atom-rpg.fandom.com	0.25	0.000113	0.013061
9864	avtoexperts.ru	0.5	0.004546	1.0
13574	amurmedia-ru.turbopages.org	0.5	0.028	0.1
8589	art-of-nails.ru	0.95	0.012538	0.08
13233	afdanalyse.ru	0.95	0.09	0.124546
13899	app.bevsa.rus_auto	0.5	0.031818	0.124546
12507	allya.ru	0.5	0.014988	1.0
12685	anime.anidub.club	0.5	0.08	1.0
11857	avtoidei.ru	0.5	0.00952	1.0
13899	angl-gdz.ru	0.5	0.015	1.0
14050	api1628574196.tobaco.ws	0.75	0.08125	1.0
14051	afmen.online	0.95	0.111	1.0
11858	adme.media	0.75	0.008169	1.0
12748	adme.media	0.25	0.039368	0.08
11868	avtopravilo.ru	0.75	0.038989	0.081245
11777	adella.ru	0.75	0.080953	0.155
12507	autofuct.ru	0.25	0.039363	0.21
9011	androidlime.ru	0.25	0.032	0.104
12886	avia.ooo	0.75	0.015	0.068
12803	a.mefilm.org	0.25	0.129871	1.0
14036	anapagorkogo11.ru	0.25	0.02	0.124546
13266	avatan.ru	0.75	0.009999	1.0
10209	ansaligy.com	0.95	0.007273	0.03937
11857	avtovzglyad-ru.turbopages.org	0.95	0.015442	0.21
12685	aunfat.ucoz.ru	0.95	0.074167	0.088
13251	aspektcenter.ru	0.95	0.000385	1.0
11857	app.bevsa.rus_r22	0.5	0.008169	1.0
12927	auto.gorod-vrn.ru	0.95	0.0792	1.0
14051	autoinfo24.ru	0.95	0.0744	0.155
12901	antifashist.online	0.5	0.031818	0.05687
9864	american-lit.niv.ru	0.25	0.005	0.086
11857	and.lihuhu.machingtriple	0.5	0.000052	1.0
13815	anistar.org	0.25	0.010999	0.068039
14051	avto-flot.ru	0.25	0.0728	1.0
11858	avia.ooo	0.25	0.038989	0.1
10009	akulas.ru	0.25	0.000009	0.21
11887	allforchildren.ru	0.5	0.012	1.0
12515	and.lihuhu.mahjong3d	0.95	0.000436	0.122728
9012	a26.kinotom.club	0.95	0.008182	0.08
13898	avtonovostidnya-ru.turbopages.org	0.25	0.03937	1.0
12533	autotopik.ru	0.75	0.0168	0.124
14435	api1611387234.synchroncode.com	0.95	0.084	1.0
12685	allmmorpg.ru	0.5	0.071442	1.0
13681	animal.summon.master	0.25	0.16	1.2
12507	a-piter.ru	0.95	0.011989	0.124
8663	agentstvo-prazdnik.com	0.75	0.006409	1.0
13001	altergames.strong_link	0.95	0.08	1.0
11791	art17.lord-film.art	0.5	0.023156	0.068039
14154	autoclub78.ru	0.75	0.00775	0.04
12176	anime.dutchycorp.space	0.5	0.000897	0.12
11997	al-31f.ru	0.5	0.039	1.0
13812	autoiwc.ru	0.5	0.03937	0.108
11905	autotravel.ru	0.25	0.044988	0.21
12513	argumenti.ru	0.95	0.013589	1.0
14413	as105.online-stars.org	0.5	0.008509	0.03937
13233	apteka.103.by	0.25	0.09	0.12
12887	anekdotov.net	0.25	0.031818	0.08
11894	a.mzfilm.ru	0.5	0.068	0.16
9011	audio-books.club	0.5	0.000658	0.1
8663	anemometers.ru	0.25	0.009091	1.0
13001	art9.lord-film.art	0.5	0.1	1.0
13812	artefaktor.ru	0.75	0.01679	1.0
11857	and.lihuhu.cubemt	0.5	0.000024	1.0
9011	abnews.ru	0.75	0.001230	0.21
9869	assistentus.ru	0.25	0.012138	0.21
13680	allbasketball.org	0.5	0.04	0.1
11905	anivisual.net	0.95	0.000656	0.21
10134	auc.priority-auto.ru	0.5	0.0495	0.0875
11894	americandad.fox-fan.tv	0.95	0.0792	0.16
14051	alfa-quattro.ru	0.75	0.077263	0.11
11867	art-lunch.ru	0.25	0.05281	0.124
13001	ayaznal.ru	0.25	0.07622	1.0
