sample	wall_ns	service	config	pid	tid	thread_name	pool	runtime_ns	wait_ns	timeslices	affinity	current_cpu
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51085	event_engin:c15	event_engin	1281974979768	17665135697035	43240522	15	15
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51086	event_engin:c16	event_engin	1384841255033	14553541410491	48653343	16	16
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51087	event_engin:c17	event_engin	1368908578810	16126272380427	45245192	17	17
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51088	event_engin:c36	event_engin	1285896790358	16279268338827	45058555	36	36
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51090	lifeguard:c36	lifeguard	3656052987	116420929077	130592	36	36
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51157	grpc-server:c52	grpc-server	1678495101000	12884769087512	23735416	52	52
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51158	grpc-server:c53	grpc-server	1608910315244	6222367536579	28856876	53	53
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51160	grpc-server:c0	grpc-server	1614208354786	6426290913236	28919544	0	0
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51164	grpc-server:c1	grpc-server	1564704848832	7282241882604	27659647	1	1
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51166	grpc-server:c2	grpc-server	2132299791021	12036580377425	43710988	2	2
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51168	grpc-server:c3	grpc-server	1988330414506	6869203799537	45811269	3	3
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51170	grpc-server:c4	grpc-server	1890619756696	4927132400900	46296522	4	4
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51174	grpc-server:c5	grpc-server	1928053076623	5521951368842	46619524	5	5
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51180	grpc-server:c6	grpc-server	1364291562112	6625235913086	27210323	6	6
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51183	grpc-server:c7	grpc-server	1363292912298	5045646537239	28688714	7	7
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51188	grpc-server:c8	grpc-server	1397997526006	9209969990160	26666811	8	8
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51192	grpc-server:c9	grpc-server	1382191440774	5086095505287	29302413	9	9
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51196	grpc-server:c10	grpc-server	1282376088697	5117251483896	27189779	10	10
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51198	grpc-server:c11	grpc-server	1225042878630	5413302557448	25632133	11	11
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51199	grpc-server:c12	grpc-server	1352977042489	8150857306781	26703035	12	12
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51203	grpc-server:c13	grpc-server	1356072801549	9690158494363	25772336	13	13
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51209	http-server:c1	http-server	6179178	5937772	13	1	1
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51214	http-server:c2	http-server	1922427	12773872	12	2	2
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51215	http-server:c3	http-server	3918229	21371478	16	3	3
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51218	http-server:c4	http-server	473974	3492045	18	4	4
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51230	task-runner:c49	task-runner	25202171653	30114408534	87537	0-17,36-53	9
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	52865	task-runner:c49	task-runner	318364843	402567915	1605	0-17,36-53	48
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	52866	task-runner:c49	task-runner	774979	30052877	1	0-17,36-53	49
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	52867	task-runner:c49	task-runner	113155	31563829	1	0-17,36-53	49
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	52868	task-runner:c49	task-runner	70774	31559944	1	0-17,36-53	49
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	52869	task-runner:c49	task-runner	68920	31529942	1	0-17,36-53	49
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	52870	task-runner:c49	task-runner	66597	31557453	1	0-17,36-53	49
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	52871	task-runner:c49	task-runner	57070	31507524	1	0-17,36-53	49
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	52872	task-runner:c49	task-runner	41960	31454812	1	0-17,36-53	49
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	52873	task-runner:c49	task-runner	31749	31384273	1	0-17,36-53	49
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	52874	task-runner:c49	task-runner	69955	31477876	1	0-17,36-53	49
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	52875	task-runner:c49	task-runner	50727	31545274	1	0-17,36-53	49
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51041	jemalloc_bg:c29	jemalloc_bg	341698282594	127541497131	134329	29	29
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51091	fast-schedu:c64	fast-schedu	3703997100697	3637701737362	75212668	64	64
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51092	task-runner:c64	task-runner	71743275694	11166595100	28779	64	64
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51094	uim-grpc-p:c23	uim-grpc-p	15295195174483	25534258400329	175567090	23	23
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51095	uim-grpc-p:c24	uim-grpc-p	20595631549798	26065163208365	187399010	24	24
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51096	uim-grpc-p:c25	uim-grpc-p	14418122121192	26843309649927	170087707	25	25
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51097	jemalloc_bg:c30	jemalloc_bg	417645841742	174429995043	183210	30	30
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51098	uim-grpc-p:c27	uim-grpc-p	18387954062085	25697758694541	191164223	27	27
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51099	uim-grpc-p:c28	uim-grpc-p	19203910714069	31081697650546	172767519	28	28
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51100	uim-grpc-p:c32	uim-grpc-p	23258845296312	15821706372365	223954627	32	32
