service,pool,hosts,threads_min,threads_max,cpu_pct_mean,runqueue_wait_pct_mean,runnable_pct_mean,runnable_pct_host_p75,runnable_pct_host_max,recommended_points
UserBindServer,ub-grpc-p,5,8,8,16.50442714757263,56.21981148707776,72.72423863465039,79.60300317992788,80.67654708315658,80
UserInfoManager,event_engine,5,16,16,1.3337181242906542,17.50359266804852,18.837310792339174,21.586827943259426,27.100067867075957,22
UserInfoManager,fast-scheduler,5,1,1,4.551750378905743,21.99010683416488,26.54185721307062,30.535827199399268,49.545782095141675,31
UserInfoManager,grpc-server,5,16,16,1.6437449660518375,7.486754773356847,9.130499739408686,10.561242631933917,10.949029207363035,11
UserInfoManager,grpc_global,5,1,1,0.00392719924167783,0.1082435891273387,0.11217078836901653,0.14446209920954647,0.20433841983570478,1
UserInfoManager,grpcpp_sync,5,1,1,0.00041472176788488193,0.011594434238092083,0.012009156005976965,0.02090892351767777,0.022278198557457617,1
UserInfoManager,http-server,5,4,4,2.1483752079170203e-06,1.7645370716174533e-05,1.9793745924091552e-05,2.845103041570595e-06,9.101260290456701e-05,1
UserInfoManager,jemalloc_bg,5,4,4,0.767628681684885,0.2986690351563023,1.0662977168411871,1.2082069115202734,1.349598861623642,1
UserInfoManager,lifeguard,5,1,1,0.00485178286247943,0.21518330884516823,0.22003509170764762,0.2636257995283898,0.497042543338905,1
UserInfoManager,rdb-batch,5,16,16,16.504574314908936,30.76111604184864,47.265690356757574,49.846208503084526,55.79028802177396,50
UserInfoManager,task-runner,5,13,13,0.010603237940750663,0.0066875569248764435,0.017290794865627103,0.019199357874805215,0.0289476185702313,1
UserInfoManager,uim-grpc-p,5,10,10,24.938549978781246,30.782068242295793,55.72061822107705,61.540338358913594,70.18884932849924,62
