host,service,pool,pid,tid,thread_name,affinity,current_cpu,runtime_sec,wait_sec,elapsed_sec,cpu_pct,runqueue_wait_pct,runnable_pct
adfe100,CampaignManager,http-server,1764,1867,http-server:c57,57,57,0.0,0.0,600.004630784,0.0,0.0,0.0
adfe100,CampaignManager,http-server,1764,1868,http-server:c58,58,58,8.6586e-05,0.003934151,600.004630784,1.4430888622786433e-05,0.0006556867727603061,0.0006701176613830926
adfe100,CampaignManager,jemalloc_bg,1764,1782,jemalloc_bg:c64,64,64,2.989044663,0.862316284,600.004630784,0.49817026563517436,0.14371827145288008,0.6418885370880544
adfe100,CampaignManager,jemalloc_bg,1764,1789,jemalloc_bg:c65,65,65,4.929161966,0.654700695,600.004630784,0.8215206538588341,0.10911594034608217,0.9306365942049163
adfe100,CampaignManager,jemalloc_bg,1764,1797,jemalloc_bg:c66,66,66,3.819209913,1.081768486,600.004630784,0.6365300727778724,0.1802933561673516,0.816823428945224
adfe100,CampaignManager,jemalloc_bg,1764,1801,jemalloc_bg:c67,67,67,2.93668832,0.525786448,600.004630784,0.48944427581546446,0.08763039833758911,0.5770746741530535
adfe100,CampaignManager,lifeguard,1764,1809,lifeguard:c34,34,34,0.03863461,1.802080842,600.004630784,0.006439051970235268,0.3003444889492435,0.30678354091947874
adfe100,CampaignManager,task-runner,1764,1837,task-runner:c21,21,21,272.925626963,185.667148217,600.004630784,45.487253424424395,30.944285875660125,76.43153930008452
adfe100,CampaignManager,task-runner,1764,1838,task-runner:c22,22,22,7.513913763,13.42907772,600.004630784,1.2523092952102546,2.2381623459226985,3.490471641132953
adfe100,CampaignManager,task-runner,1764,1845,task-runner:c23,23,23,0.549984731,9.741554414,600.004630784,0.09166341437754552,1.6235798715871799,1.7152432859647255
adfe100,CampaignManager,task-runner,1764,3869,task-runner:c24,24,24,0.00539905,0.015339084,600.004630784,0.0008998347217662796,0.0025564942690454047,0.0034563289908116843
adfe100,CampaignManager,task-runner,1764,4494,task-runner:c25,25,25,0.006645408,0.024591731,600.004630784,0.0011075594518856853,0.004098590200523462,0.005206149652409147
adfe100,ChannelServer,cs-grpc-p,17280,17303,cs-grpc-p:c22,22,22,226.462983939,187.556495588,600.004630784,37.74353935286977,31.25917467385678,69.00271402672655
adfe100,ChannelServer,cs-grpc-p,17280,17304,cs-grpc-p:c27,27,27,271.519034162,134.442268692,600.004630784,45.25282310025139,22.406871846360605,67.65969494661199
adfe100,ChannelServer,cs-grpc-p,17280,17305,cs-grpc-p:c23,23,23,224.651039729,168.336805254,600.004630784,37.4415509819413,28.05591767417555,65.49746865611684
adfe100,ChannelServer,cs-grpc-p,17280,17306,cs-grpc-p:c24,24,24,200.718796233,180.609928756,600.004630784,33.45287451710655,30.101422470690743,63.5542969877973
adfe100,ChannelServer,cs-grpc-p,17280,17307,cs-grpc-p:c55,55,55,213.888178128,178.992053623,600.004630784,35.64775455958092,29.831778696294204,65.47953325587513
adfe100,ChannelServer,cs-grpc-p,17280,17308,cs-grpc-p:c26,26,26,212.669963574,152.062780781,600.004630784,35.4447203675934,25.343601195595134,60.78832156318853
adfe100,ChannelServer,cs-grpc-p,17280,17309,cs-grpc-p:c28,28,28,233.193237347,158.579112099,600.004630784,38.86523959695053,26.42964803318127,65.2948876301318
adfe100,ChannelServer,cs-grpc-p,17280,17310,cs-grpc-p:c29,29,29,245.518027939,130.624419084,600.004630784,40.919355508672034,21.77056848933295,62.68992399800498
adfe100,ChannelServer,cs-grpc-p,17280,17311,cs-grpc-p:c30,30,30,237.647639766,140.120615399,600.004630784,39.607634270334906,23.353255660028903,62.960889930363805
adfe100,ChannelServer,cs-grpc-p,17280,17312,cs-grpc-p:c31,31,31,164.676359968,208.852267682,600.004630784,27.445848168342394,34.80844262970134,62.25429079804373
adfe100,ChannelServer,cs-grpc-p,17280,17313,cs-grpc-p:c32,32,32,184.805718955,227.206513437,600.004630784,30.800715440066252,37.86745997945368,68.66817541951993
adfe100,ChannelServer,cs-grpc-p,17280,17314,cs-grpc-p:c33,33,33,167.397897547,230.602313258,600.004630784,27.899434264077,38.43342224820531,66.33285651228232
adfe100,ChannelServer,cs-grpc-p,17280,17315,cs-grpc-p:c34,34,34,138.598856521,258.969100899,600.004630784,23.099631137829537,43.161183699635174,66.26081483746471
adfe100,ChannelServer,cs-grpc-p,17280,17316,cs-grpc-p:c35,35,35,188.505150836,178.927143949,600.004630784,31.417282661583545,29.820960500788747,61.2382431623723
adfe100,ChannelServer,cs-grpc-p,17280,17317,cs-grpc-p:c54,54,54,177.995752321,237.263647264,600.004630784,29.66572976085546,39.54363601393841,69.20936577479387
adfe100,ChannelServer,cs-grpc-p,17280,17318,cs-grpc-p:c25,25,25,266.744350749,88.689433235,600.004630784,44.45704867318386,14.781458122933712,59.238506796117576
adfe100,ChannelServer,event_engine,17280,17320,event_engin:c59,59,59,11.248144946,107.64835431,600.004630784,1.874676355631212,17.94125391488072,19.81593027051193
adfe100,ChannelServer,event_engine,17280,17321,event_engin:c60,60,60,11.751547513,85.13934386,600.004630784,1.9585761359282783,14.18978112698099,16.14835726290927
adfe100,ChannelServer,event_engine,17280,17322,event_engin:c61,61,61,10.195918326,60.559989482,600.004630784,1.6993066057969313,10.093253680870578,11.79256028666751
adfe100,ChannelServer,event_engine,17280,17323,event_engin:c62,62,62,11.267300511,86.052001741,600.004630784,1.877868925157712,14.341889599845185,16.2197585250029
